N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
190,KODEX 레버리지,"28,690",280,-0.97%,0,"13,886","48,400",5.07,"11,198,546",N/A,N/A,
191,아시아나항공,"18,650",550,-2.86%,"5,000","13,878","74,412",20.78,"16,435,032",-20.68,-43.83,
192,LG전자우,"77,700",600,-0.77%,"5,000","13,354","17,186",40.90,"48,686",7.24,N/A,
193,티와이홀딩스,"33,150",250,+0.76%,500,"13,317","40,172",6.11,"287,428",1.25,N/A,
194,효성화학,"415,500","32,500",-7.25%,"5,000","13,255","3,190",9.96,"266,483",45.37,-2.71,
195,세방전지,"93,500","2,000",-2.09%,500,"13,090","14,000",25.33,"69,425",16.97,6.14,
196,이노션,"64,000",800,-1.23%,500,"12,800","20,000",30.01,"37,104",21.79,8.28,
197,한국콜마,"55,900",0,0.00%,500,"12,791","22,881",26.89,"73,821",7.99,29.27,
198,롯데칠성,"141,000","1,000",-0.70%,500,"12,655","8,975",8.74,"53,460",190.03,-1.00,
199,영풍,"678,000","2,000",+0.30%,"5,000","12,489","1,842",4.43,"2,627",9.13,4.03,
200,다우기술,"27,750",50,+0.18%,500,"12,450","44,867",21.73,"49,275",3.29,18.85,
